DATE,DGS1
1/2/2018,1.83
1/3/2018,1.81
1/4/2018,1.82
1/5/2018,1.8
1/8/2018,1.79
1/9/2018,1.78
1/10/2018,1.78
1/11/2018,1.77
1/12/2018,1.78
1/15/2018,1.76
1/16/2018,1.79
1/17/2018,1.79
1/18/2018,1.79
1/19/2018,1.79
1/22/2018,1.79
1/23/2018,1.78
1/24/2018,1.79
1/25/2018,1.8
1/26/2018,1.8
1/29/2018,1.8
1/30/2018,1.88
1/31/2018,1.9
2/1/2018,1.89
2/2/2018,1.88
2/5/2018,1.85
2/6/2018,1.87
2/7/2018,1.91
2/8/2018,1.91
2/9/2018,1.89
2/12/2018,1.93
2/13/2018,1.95
2/14/2018,1.98
2/15/2018,1.99
2/16/2018,2
2/19/2018,2
2/20/2018,2.01
2/21/2018,2.03
2/22/2018,2.02
2/23/2018,2.02
2/26/2018,2.03
2/27/2018,2.08
2/28/2018,2.07
3/1/2018,2.05
3/2/2018,2.06
3/5/2018,2.06
3/6/2018,2.06
3/7/2018,2.05
3/8/2018,2.05
3/9/2018,2.03
3/12/2018,2.05
3/13/2018,2.03
3/14/2018,2.05
3/15/2018,2.07
3/16/2018,2.08
3/19/2018,2.08
3/20/2018,2.08
3/21/2018,2.06
3/22/2018,2.05
3/23/2018,2.04
3/26/2018,2.06
3/27/2018,2.1
3/28/2018,2.12
3/29/2018,2.09
3/30/2018,2.09
4/2/2018,2.08
4/3/2018,2.09
4/4/2018,2.07
4/5/2018,2.07
4/6/2018,2.06
4/9/2018,2.08
4/10/2018,2.09
4/11/2018,2.09
4/12/2018,2.11
4/13/2018,2.12
4/16/2018,2.12
4/17/2018,2.16
4/18/2018,2.17
4/19/2018,2.21
4/20/2018,2.22
4/23/2018,2.25
4/24/2018,2.25
4/25/2018,2.26
4/26/2018,2.25
4/27/2018,2.24
4/30/2018,2.24
5/1/2018,2.26
5/2/2018,2.24
5/3/2018,2.24
5/4/2018,2.24
5/7/2018,2.25
5/8/2018,2.26
5/9/2018,2.27
5/10/2018,2.27
5/11/2018,2.28
5/14/2018,2.28
5/15/2018,2.31
5/16/2018,2.32
5/17/2018,2.32
5/18/2018,2.32
5/21/2018,2.35
5/22/2018,2.34
5/23/2018,2.29
5/24/2018,2.28
5/25/2018,2.27
5/28/2018,2.2
5/29/2018,2.17
5/30/2018,2.23
5/31/2018,2.23
6/1/2018,2.28
6/4/2018,2.3
6/5/2018,2.32
6/6/2018,2.32
6/7/2018,2.31
6/8/2018,2.3
6/11/2018,2.32
6/12/2018,2.31
6/13/2018,2.35
6/14/2018,2.35
6/15/2018,2.35
6/18/2018,2.35
6/19/2018,2.34
6/20/2018,2.36
6/21/2018,2.34
6/22/2018,2.33
6/25/2018,2.34
6/26/2018,2.33
6/27/2018,2.33
6/28/2018,2.33
6/29/2018,2.33
7/2/2018,2.34
7/3/2018,2.33
7/4/2018,2.33
7/5/2018,2.32
7/6/2018,2.34
7/9/2018,2.34
7/10/2018,2.36
7/11/2018,2.36
7/12/2018,2.39
7/13/2018,2.37
7/16/2018,2.39
7/17/2018,2.39
7/18/2018,2.43
7/19/2018,2.4
7/20/2018,2.41
7/23/2018,2.42
7/24/2018,2.42
7/25/2018,2.42
7/26/2018,2.41
7/27/2018,2.43
7/30/2018,2.43
7/31/2018,2.44
8/1/2018,2.45
8/2/2018,2.45
8/3/2018,2.43
8/6/2018,2.44
8/7/2018,2.45
8/8/2018,2.44
8/9/2018,2.44
8/10/2018,2.42
8/13/2018,2.42
8/14/2018,2.44
8/15/2018,2.45
8/16/2018,2.45
8/17/2018,2.44
8/20/2018,2.43
8/21/2018,2.45
8/22/2018,2.43
8/23/2018,2.43
8/24/2018,2.44
8/27/2018,2.47
8/28/2018,2.47
8/29/2018,2.48
8/30/2018,2.47
8/31/2018,2.46
9/3/2018,2.48
9/4/2018,2.49
9/5/2018,2.49
9/6/2018,2.5
9/7/2018,2.53
9/10/2018,2.54
9/11/2018,2.55
9/12/2018,2.56
9/13/2018,2.55
9/14/2018,2.56
9/17/2018,2.57
9/18/2018,2.58
