UnderlyingSymbol,UnderlyingPrice,Exchange,OptionSymbol,OptionExt,Type,Expiration,DataDate,Strike,Last,Bid,Ask,Volume,OpenInterest,IV,Delta,Gamma,Theta,Vega,AKA
MSFT,96.22,*,MSFT180511C00055000,,call,05/11/2018,05/07/2018,55,0,38.85,43.35,0,0,0.2609,1,0,-1.2909,0,MSFT180511C00055000
MSFT,96.22,*,MSFT180511P00055000,,put,05/11/2018,05/07/2018,55,0,0,0.02,0,0,0.3057,0,0,0,0,MSFT180511P00055000
MSFT,96.22,*,MSFT180511C00060000,,call,05/11/2018,05/07/2018,60,0,33.6,38.3,0,0,0.2609,1,0,-1.4083,0,MSFT180511C00060000
MSFT,96.22,*,MSFT180511P00060000,,put,05/11/2018,05/07/2018,60,0,0,0.02,0,0,0.3057,0,0,0,0,MSFT180511P00060000
MSFT,96.22,*,MSFT180511C00065000,,call,05/11/2018,05/07/2018,65,0,29.15,32.7,0,0,0.2609,1,0,-1.5256,0,MSFT180511C00065000
MSFT,96.22,*,MSFT180511P00065000,,put,05/11/2018,05/07/2018,65,0,0,0.02,0,0,0.3057,0,0,0,0,MSFT180511P00065000
MSFT,96.22,*,MSFT180511C00068000,,call,05/11/2018,05/07/2018,68,0,26.4,29.35,0,0,0.2609,1,0,-1.596,0,MSFT180511C00068000
MSFT,96.22,*,MSFT180511P00068000,,put,05/11/2018,05/07/2018,68,0,0,0.02,0,0,0.3057,0,0,0,0,MSFT180511P00068000
MSFT,96.22,*,MSFT180511C00069000,,call,05/11/2018,05/07/2018,69,0,25.75,28.15,0,0,0.2609,1,0,-1.6195,0,MSFT180511C00069000
MSFT,96.22,*,MSFT180511P00069000,,put,05/11/2018,05/07/2018,69,0,0,0.02,0,0,0.3057,0,0,0,0,MSFT180511P00069000
MSFT,96.22,*,MSFT180511C00070000,,call,05/11/2018,05/07/2018,70,23.24,24.8,27.3,0,15,0.2609,1,0,-1.643,0,MSFT180511C00070000
MSFT,96.22,*,MSFT180511P00070000,,put,05/11/2018,05/07/2018,70,0.03,0,0.02,0,0,0.3057,0,0,0,0,MSFT180511P00070000
MSFT,96.22,*,MSFT180511C00071000,,call,05/11/2018,05/07/2018,71,0,23.5,26.2,0,0,0.2609,1,0,-1.6664,0,MSFT180511C00071000
MSFT,96.22,*,MSFT180511P00071000,,put,05/11/2018,05/07/2018,71,0,0,0.02,0,0,0.3057,0,0,0,0,MSFT180511P00071000
MSFT,96.22,*,MSFT180511C00072000,,call,05/11/2018,05/07/2018,72,0,22.65,25.3,0,0,0.2609,1,0,-1.6899,0,MSFT180511C00072000
MSFT,96.22,*,MSFT180511P00072000,,put,05/11/2018,05/07/2018,72,0,0,0.02,0,0,0.3057,0,0,0,0,MSFT180511P00072000
MSFT,96.22,*,MSFT180511C00073000,,call,05/11/2018,05/07/2018,73,0,21.45,24.2,0,0,0.2609,1,0,-1.7134,0,MSFT180511C00073000
MSFT,96.22,*,MSFT180511P00073000,,put,05/11/2018,05/07/2018,73,0.03,0,0.02,0,27,0.3057,0,0,0,0,MSFT180511P00073000
MSFT,96.22,*,MSFT180511C00074000,,call,05/11/2018,05/07/2018,74,0,20.85,23.2,0,0,0.2609,1,0,-1.7369,0,MSFT180511C00074000
MSFT,96.22,*,MSFT180511P00074000,,put,05/11/2018,05/07/2018,74,0.44,0,0.02,0,10,0.3057,0,0,0,0,MSFT180511P00074000
MSFT,96.22,*,MSFT180511C00075000,,call,05/11/2018,05/07/2018,75,17.8,19.6,22.3,0,1,0.2609,1,0,-1.7603,0,MSFT180511C00075000
MSFT,96.22,*,MSFT180511P00075000,,put,05/11/2018,05/07/2018,75,0.01,0,0.02,0,59,0.3057,0,0,0,0,MSFT180511P00075000
MSFT,96.22,*,MSFT180511C00076000,,call,05/11/2018,05/07/2018,76,0,18.45,21.15,0,0,0.2609,1,0,-1.7838,0,MSFT180511C00076000
MSFT,96.22,*,MSFT180511P00076000,,put,05/11/2018,05/07/2018,76,0.26,0,0.02,0,17,0.3057,0,0,0,0,MSFT180511P00076000
MSFT,96.22,*,MSFT180511C00077000,,call,05/11/2018,05/07/2018,77,18,18.75,19.35,0,80,0.2609,1,0,-1.8073,0,MSFT180511C00077000
MSFT,96.22,*,MSFT180511P00077000,,put,05/11/2018,05/07/2018,77,0,0,0.02,0,0,0.3057,0,0,0,0,MSFT180511P00077000
MSFT,96.22,*,MSFT180511C00078000,,call,05/11/2018,05/07/2018,78,0,16.85,19.25,0,0,0.2609,1,0,-1.8307,0,MSFT180511C00078000
MSFT,96.22,*,MSFT180511P00078000,,put,05/11/2018,05/07/2018,78,0,0,0.01,0,0,0.3057,0,0,0,0,MSFT180511P00078000
MSFT,96.22,*,MSFT180511C00079000,,call,05/11/2018,05/07/2018,79,0,15.55,18.2,0,0,0.2609,1,0,-1.8542,0,MSFT180511C00079000
MSFT,96.22,*,MSFT180511P00079000,,put,05/11/2018,05/07/2018,79,0.02,0,0.02,0,65,0.3057,0,0,0,0,MSFT180511P00079000
MSFT,96.22,*,MSFT180511C00080000,,call,05/11/2018,05/07/2018,80,13,14.7,16.6,0,19,0.2609,1,0,-1.8777,0,MSFT180511C00080000
MSFT,96.22,*,MSFT180511P00080000,,put,05/11/2018,05/07/2018,80,0.03,0,0.02,0,106,0.3057,0,0,0,0,MSFT180511P00080000
MSFT,96.22,*,MSFT180511C00081000,,call,05/11/2018,05/07/2018,81,0,13.6,16.2,0,0,0.2609,1,0,-1.9011,0,MSFT180511C00081000
MSFT,96.22,*,MSFT180511P00081000,,put,05/11/2018,05/07/2018,81,0.05,0,0.02,0,0,0.3057,0,0,0,0,MSFT180511P00081000
MSFT,96.22,*,MSFT180511C00082000,,call,05/11/2018,05/07/2018,82,10.3,12.75,15.15,0,23,0.2609,1,0,-1.9246,0,MSFT180511C00082000
MSFT,96.22,*,MSFT180511P00082000,,put,05/11/2018,05/07/2018,82,0.01,0,0.02,1,0,0.3057,0,0,0,0,MSFT180511P00082000
MSFT,96.22,*,MSFT180511C00083000,,call,05/11/2018,05/07/2018,83,12.9,11.9,13.35,1,39,0.2609,1,0,-1.9481,0,MSFT180511C00083000
MSFT,96.22,*,MSFT180511P00083000,,put,05/11/2018,05/07/2018,83,0.03,0,0.02,0,0,0.3057,0,0,-0.0002,0,MSFT180511P00083000
MSFT,96.22,*,MSFT180511C00083500,,call,05/11/2018,05/07/2018,83.5,10.1,11.3,12.85,0,5,0.2609,1,0,-1.9598,0,MSFT180511C00083500
MSFT,96.22,*,MSFT180511P00083500,,put,05/11/2018,05/07/2018,83.5,0.05,0,0.02,0,0,0.3057,0,0,-0.0004,0,MSFT180511P00083500
MSFT,96.22,*,MSFT180511C00084000,,call,05/11/2018,05/07/2018,84,11.9,11.95,12.35,1,10,0.2609,1,0,-1.9716,0,MSFT180511C00084000
MSFT,96.22,*,MSFT180511P00084000,,put,05/11/2018,05/07/2018,84,0.04,0,0.02,0,0,0.3057,0,0,-0.0011,0.0001,MSFT180511P00084000
MSFT,96.22,*,MSFT180511C00084500,,call,05/11/2018,05/07/2018,84.5,11.4,10.35,11.85,1,9,0.2609,1,0,-1.9834,0,MSFT180511C00084500
MSFT,96.22,*,MSFT180511P00084500,,put,05/11/2018,05/07/2018,84.5,0.09,0,0.02,0,89,0.3057,0,0,-0.0028,0.0002,MSFT180511P00084500
MSFT,96.22,*,MSFT180511C00085000,,call,05/11/2018,05/07/2018,85,11,11.05,11.35,6,143,0.2609,1,0,-1.9952,0,MSFT180511C00085000
MSFT,96.22,*,MSFT180511P00085000,,put,05/11/2018,05/07/2018,85,0.01,0,0.02,3,223,0.3057,0,0,-0.0068,0.0004,MSFT180511P00085000
MSFT,96.22,*,MSFT180511C00085500,,call,05/11/2018,05/07/2018,85.5,9.4,9.4,10.85,0,86,0.2609,1,0,-2.0074,0,MSFT180511C00085500
MSFT,96.22,*,MSFT180511P00085500,,put,05/11/2018,05/07/2018,85.5,0.05,0,0.02,0,161,0.3057,0,0,-0.0158,0.0009,MSFT180511P00085500
MSFT,96.22,*,MSFT180511C00086000,,call,05/11/2018,05/07/2018,86,10.21,9.95,10.4,10,130,0.2609,1,0,-2.0204,0.0001,MSFT180511C00086000
MSFT,96.22,*,MSFT180511P00086000,,put,05/11/2018,05/07/2018,86,0.01,0,0.02,5,0,0.3057,-0.0001,0.0001,-0.0348,0.0021,MSFT180511P00086000
MSFT,96.22,*,MSFT180511C00086500,,call,05/11/2018,05/07/2018,86.5,9.15,8.45,10.3,0,92,0.2609,1,0,-2.0355,0.0004,MSFT180511C00086500
MSFT,96.22,*,MSFT180511P00086500,,put,05/11/2018,05/07/2018,86.5,0.01,0,0.02,15,84,0.3057,-0.0001,0.0002,-0.0735,0.0044,MSFT180511P00086500
MSFT,96.22,*,MSFT180511C00087000,,call,05/11/2018,05/07/2018,87,8.9,7.85,9.35,4,60,0.2609,1,0,-2.0557,0.001,MSFT180511C00087000
MSFT,96.22,*,MSFT180511P00087000,,put,05/11/2018,05/07/2018,87,0.02,0,0.02,15,0,0.3057,-0.0003,0.0003,-0.1485,0.0089,MSFT180511P00087000
MSFT,96.22,*,MSFT180511C00087500,,call,05/11/2018,05/07/2018,87.5,6.25,7.45,8.85,0,167,0.2609,0.9999,0.0001,-2.0876,0.0024,MSFT180511C00087500
MSFT,96.22,*,MSFT180511P00087500,,put,05/11/2018,05/07/2018,87.5,0.05,0,0.02,0,0,0.3057,-0.0005,0.0007,-0.2878,0.0173,MSFT180511P00087500
MSFT,96.22,*,MSFT180511C00088000,,call,05/11/2018,05/07/2018,88,8.55,8.05,8.35,8,168,0.2609,0.9998,0.0003,-2.1447,0.0056,MSFT180511C00088000
MSFT,96.22,*,MSFT180511P00088000,,put,05/11/2018,05/07/2018,88,0.04,0.01,0.02,800,222,0.4124,-0.011,0.0076,-5.9781,0.2659,MSFT180511P00088000
MSFT,96.22,*,MSFT180511C00088500,,call,05/11/2018,05/07/2018,88.5,7.5,7.5,7.85,25,105,0.2609,0.9996,0.0006,-2.2522,0.0123,MSFT180511C00088500
