Date,Open,High,Low,Close,Adj Close,Volume
2011-10-04,242700000.000000,244800000.000000,205800000.000000,205800000.000000,205800000.000000,0
2011-10-05,197460000.000000,198900000.000000,181380000.000000,181380000.000000,181380000.000000,0
2011-10-06,181140000.000000,187800000.000000,174000000.000000,174000000.000000,174000000.000000,0
2011-10-07,170580000.000000,185760000.000000,168480000.000000,176520000.000000,176520000.000000,0
2011-10-10,165480000.000000,165600000.000000,155940000.000000,155940000.000000,155940000.000000,0
2011-10-11,157020000.000000,157260000.000000,149100000.000000,150600000.000000,150600000.000000,0
2011-10-12,139440000.000000,139440000.000000,124860000.000000,128760000.000000,128760000.000000,0
2011-10-13,133200000.000000,140220000.000000,129660000.000000,129660000.000000,129660000.000000,0
2011-10-14,117360000.000000,124140000.000000,114840000.000000,116880000.000000,116880000.000000,0
2011-10-17,115740000.000000,139500000.000000,115740000.000000,139500000.000000,139500000.000000,0
2011-10-18,138480000.000000,147720000.000000,119100000.000000,130200000.000000,130200000.000000,0
2011-10-19,126000000.000000,148320000.000000,123600000.000000,144660000.000000,144660000.000000,0
2011-10-20,146520000.000000,156780000.000000,142800000.000000,144900000.000000,144900000.000000,0
2011-10-21,135240000.000000,140100000.000000,130200000.000000,130200000.000000,130200000.000000,0
2011-10-24,127020000.000000,127020000.000000,113820000.000000,114360000.000000,114360000.000000,0
2011-10-25,117420000.000000,131100000.000000,117420000.000000,129300000.000000,129300000.000000,0
2011-10-26,118980000.000000,137460000.000000,117720000.000000,119040000.000000,119040000.000000,0
2011-10-27,94380000.000000,99180000.000000,85620000.000000,87300000.000000,87300000.000000,0
2011-10-28,90480000.000000,91860000.000000,84660000.000000,85740000.000000,85740000.000000,0
2011-10-31,93840000.000000,103980000.000000,92340000.000000,103980000.000000,103980000.000000,0
2011-11-01,135600000.000000,140880000.000000,126180000.000000,134460000.000000,134460000.000000,0
2011-11-02,124800000.000000,135180000.000000,123240000.000000,126180000.000000,126180000.000000,0
2011-11-03,118860000.000000,134160000.000000,113220000.000000,114300000.000000,114300000.000000,0
2011-11-04,120120000.000000,127140000.000000,115260000.000000,118620000.000000,118620000.000000,0
2011-11-07,119940000.000000,126000000.000000,116400000.000000,116460000.000000,116460000.000000,0
2011-11-08,113280000.000000,119640000.000000,105000000.000000,105480000.000000,105480000.000000,0
2011-11-09,121260000.000000,146100000.000000,119700000.000000,144540000.000000,144540000.000000,0
2011-11-10,127500000.000000,142500000.000000,125400000.000000,126240000.000000,126240000.000000,0
2011-11-11,116880000.000000,117060000.000000,112800000.000000,115740000.000000,115740000.000000,0
2011-11-14,119160000.000000,125880000.000000,118680000.000000,121260000.000000,121260000.000000,0
2011-11-15,125640000.000000,127920000.000000,116940000.000000,118920000.000000,118920000.000000,0
2011-11-16,126360000.000000,132060000.000000,117600000.000000,130440000.000000,130440000.000000,0
