Date,Open,High,Low,Close,Adj Close,Volume
2014-12-04,28200.400391,30096.900391,27953.000000,28447.699219,28447.699219,811330
2014-12-05,26551.199219,27540.699219,25974.000000,26056.500000,26056.500000,377529
2014-12-08,25231.900391,26056.500000,23582.800781,23582.800781,23582.800781,367585
2014-12-09,23582.800781,23582.800781,21274.000000,21274.000000,21274.000000,570963
2014-12-10,19789.699219,20202.000000,19212.500000,19295.000000,19295.000000,539795
2014-12-11,18635.300781,19295.000000,17398.500000,17728.300781,17728.300781,1053637
2014-12-12,17645.800781,19295.000000,17233.599609,19047.599609,19047.599609,1117064
2014-12-15,19377.400391,19872.199219,18800.199219,19212.500000,19212.500000,1274964
2014-12-16,18552.900391,19047.599609,17316.000000,17480.900391,17480.900391,857050
2014-12-17,16573.900391,17728.300781,16079.200195,16409.000000,16409.000000,1354314
2014-12-18,16491.400391,17645.800781,16491.400391,17563.400391,17563.400391,662974
2014-12-19,17316.000000,17563.400391,16161.599609,16738.800781,16738.800781,518451
2014-12-22,16491.400391,17233.599609,16079.200195,16821.300781,16821.300781,1007310
2014-12-23,16491.400391,18470.400391,16491.400391,18470.400391,18470.400391,1508297
2014-12-24,19954.599609,20037.099609,18470.400391,18800.199219,18800.199219,1577424
2014-12-26,17893.199219,18305.500000,16986.199219,17068.599609,17068.599609,700848
2014-12-29,16491.400391,17893.199219,15419.500000,15914.200195,15914.200195,1454027
2014-12-30,15666.900391,17233.599609,14594.900391,16409.000000,16409.000000,1217844
2014-12-31,15914.200195,17480.900391,15914.200195,16903.699219,16903.699219,796555
2015-01-02,16903.699219,16903.699219,16903.699219,16903.699219,16903.699219,0
2015-01-05,16491.400391,17316.000000,16491.400391,16821.300781,16821.300781,396691
2015-01-06,16491.400391,18470.400391,15666.900391,18470.400391,18470.400391,1063824
2015-01-07,20284.500000,20284.500000,18965.199219,19872.199219,19872.199219,1314257
2015-01-08,19377.400391,21521.300781,19377.400391,20119.599609,20119.599609,926165
2015-01-09,20614.300781,21356.400391,20119.599609,20614.300781,20614.300781,550952
2015-01-12,21026.599609,21026.599609,18717.800781,18965.199219,18965.199219,634632
2015-01-13,18140.599609,20037.099609,17728.300781,19707.300781,19707.300781,871992
2015-01-14,18965.199219,20449.400391,18965.199219,20119.599609,20119.599609,1372020
2015-01-15,20119.599609,22098.500000,19624.800781,22098.500000,22098.500000,1815717
2015-01-16,22428.400391,22923.099609,21438.900391,21521.300781,21521.300781,1239428
2015-01-20,21109.000000,21521.300781,20944.099609,21109.000000,21109.000000,519663
2015-01-21,21109.000000,22181.000000,21026.599609,21109.000000,21109.000000,674289
2015-01-22,21191.500000,21438.900391,20614.300781,21026.599609,21026.599609,421406
2015-01-23,21851.199219,21933.599609,20861.699219,21851.199219,21851.199219,891905
2015-01-26,22181.000000,22758.199219,21026.599609,22016.099609,22016.099609,654764
2015-01-27,22016.099609,22181.000000,20944.099609,21438.900391,21438.900391,1206929
2015-01-28,21026.599609,21851.199219,20944.099609,21438.900391,21438.900391,366614
2015-01-29,21026.599609,22758.199219,20614.300781,22758.199219,22758.199219,680280
2015-01-30,21933.599609,23252.900391,21851.199219,22923.099609,22923.099609,741960
2015-02-02,22263.500000,24984.500000,22263.500000,22840.699219,22840.699219,506444
2015-02-03,22263.500000,24489.800781,22263.500000,22428.400391,22428.400391,456855
2015-02-04,22428.400391,22428.400391,21274.000000,21356.400391,21356.400391,744022
2015-02-05,21109.000000,21356.400391,20366.900391,20531.800781,20531.800781,1263200
2015-02-06,20202.000000,21356.400391,20202.000000,20614.300781,20614.300781,521737
